id,cid,tp,onstop,offstop,ridestart,ridedis,ridetime,fair,transcount,onx,ony,offx,offy,hours,hoursend,dis,function1,function2,EXTRA
705,2.00E+15,2,65021,77009,33046,8.8,17.15,0.58,0,377588.89,152998.37,383140.64,151880.8,3.06,3.06,1,631,432,11.05
734,9.00E+15,1,STN Admiralty,STN MacPherson,25470,22,83.13,1.85,2,366606.08,159274.97,376512.02,146662.65,2.36,2.37,2,825,726,11.05
735,9.00E+15,1,STN MacPherson,STN Boon Keng,58220,7.5,54.5,2.4,2,376512.02,146662.65,373387.18,145882.68,5.39,5.40,1,854,755,11.05
736,9.00E+15,1,7241,46771,63983,22.1,78.18,3.7,4,373061.68,145447.74,366536.39,159305.04,5.92,5.93,3,862,762,11.05
741,9.00E+15,1,STN Bedok,STN Paya Lebar,29724,4.2,19.9,0.81,2,380964.37,146371.96,376841.28,145716.07,2.75,2.75,0,827,728,11.05
742,9.00E+15,1,STN Paya Lebar,70119,66522,6.8,35.43,2.09,4,376841.28,145716.07,375123.15,147088.03,6.16,6.16,0,861,762,11.05
743,9.00E+15,1,70111,STN Bedok,82542,8.7,25.37,5.21,4,375090.27,147124.1,380964.37,146371.96,7.64,7.65,1,877,777,11.05
759,2.00E+15,2,40069,STN Dhoby Ghaut,53787,3.1,29.5,0.36,3,370285.36,145753.88,371602.6,143563.1,4.98,4.98,0,649,450,11.05
760,2.00E+15,2,STN Dhoby Ghaut,STN Serangoon,56340,6.6,37.2,2.55,2,371602.6,143563.1,374668.85,149158.2,5.22,5.22,0,652,452,11.05
761,2.00E+15,2,STN Serangoon,STN Potong Pasir,59032,2.2,20.37,3.36,2,374668.85,149158.2,374204.47,147183.88,5.47,5.47,0,654,455,11.05
762,9.00E+15,1,22599,STN Bukit Batok,68501,7.5,21.78,1.15,3,355717.59,148681.83,360869.84,149118.51,6.34,6.34,1,864,764,11.05
763,9.00E+15,1,STN Bukit Batok,22591,77964,7.9,33.67,3.15,3,360869.84,149118.51,355702.06,148667.61,7.22,7.22,1,873,773,11.05
773,9.00E+15,1,59459,STN Somerset,33579,18.2,37.27,1.57,3,371244.38,157693.59,370778.35,143735.66,3.11,3.11,2,833,733,11.05
774,9.00E+15,1,STN Somerset,59469,72626,18.8,100.43,3.61,3,370778.35,143735.66,371785.33,157387.51,6.72,6.73,2,869,769,11.05
778,2.00E+15,3,45259,STN Clementi,42861,11.3,34.77,0.86,3,359878.55,153856.7,362627.84,145414.63,3.97,3.97,1,440,141,11.05
779,2.00E+15,3,STN Clementi,STN Yew Tee,54644,11.5,50.73,2.86,2,362627.84,145414.63,360640.21,154510.6,5.06,5.06,1,451,152,11.05
780,2.00E+15,3,45439,45329,60359,0.7,12.9,3.53,2,361065.07,154919.99,360711.45,154505.84,5.59,5.59,0,455,156,11.05
801,9.00E+15,1,17159,STN Novena,39084,11,54.1,1.29,3,363121.13,145044.57,371373.98,145935.66,3.62,3.62,1,837,737,11.05
802,9.00E+15,1,STN Novena,17159,45235,17.2,67.15,3.53,3,371373.98,145935.66,363121.13,145044.57,4.19,4.19,2,843,744,11.05
803,9.00E+15,1,17151,17181,60642,1,13.23,4.71,2,363113.84,145016.19,362487.7,145642.1,5.62,5.62,0,856,756,11.05
804,9.00E+15,1,17189,17159,65537,1,14.1,5.71,2,362481.96,145707.09,363121.13,145044.57,6.07,6.07,0,860,761,11.05
